Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],Most_Recent
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3048453,3136344,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,5125821
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,13617405420.1174,14195623424.811,14949514585.1585,15913363335.0564,16504795453.2822,17195867540.353,18529767934.4743,19952156474.8454,22600431878.0024,26743874286.8514,30612932802.8991,30562361123.0307,37268635287.0856,42262697840.385,46473128285.5589,49745088111.6953,50656002895.8763,57435507212.256
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,3614.56256657289,3688.39831414497,3808.36368918324,3981.5280469657,4062.01496486078,4167.71410665586,4425.50746720577,4697.01113456115,5245.18737215155,6120.62341828065,6911.13613586409,6809.39622366841,8199.41462068027,9186.59638993395,9985.36958970111,10569.6663143866,10647.4417945857,11824.6381020004
Costa Rica,CRI,GINI index (World Bank estimate),SI.POV.GINI,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.7
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.66637869776731,3.90432325714263,5.80025302331829,9.55948213497093,19.8948511346293,20.3336148143541,20.7923067055542,22.07,25.1,28.4,32.29,34.33,36.5,39.2121959961842,47.5,45.96,53,66.028712851114
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.119,77.288,77.448,77.597,77.736,77.868,77.993,78.114,78.234,78.355,78.481,78.613,78.756,78.911,79.077,79.254,79.44,79.831
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,94.8681869506836,..,..,..,..,..,..,..,..,..,..,97.4065780639648,..,..,..,97.4065780639648
Costa Rica,CRI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.4,11.8,11.1,10.5,10.1,9.6,9.3,9.1,8.9,9,9,8.9,8.8,8.8,8.7,8.5,8.2,7.7
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3767373,3848723,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4857274
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,12612033728.8572,12376639822.9265,10717022462.6859,11192560827.2962,12346919216.1359,15306602560.2533,16554441846.5192,17084928927.4555,17800887796.4987,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31273049200.243,35372603446.2605,36372613022.942
